term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),104311.862,75753.609,1.377,0.169,-44638.14,253261.864
age,88.342,766.594,0.115,0.908,-1418.968,1595.652
sexMale,-21672.532,25770.619,-0.841,0.401,-72343.83,28998.766
education_levelNo Formal,-57625.144,44313.445,-1.3,0.194,-144756.145,29505.856
education_levelPrimary,-75866.194,40213.614,-1.887,0.06,-154935.93,3203.541
education_levelSecondary,-74219.923,37959.626,-1.955,0.051,-148857.77,417.924
education_levelUniversity,-81583.826,46098.85,-1.77,0.078,-172225.366,9057.715
urban_ruralUrban,16229.565,25856.384,0.628,0.531,-34610.368,67069.498
provinceGandaki,17625.63,48140.607,0.366,0.714,-77030.5,112281.76
provinceKarnali,7383.119,47206.572,0.156,0.876,-85436.471,100202.709
provinceKoshi,706.886,47154.214,0.015,0.988,-92009.756,93423.527
provinceLumbini,89134.822,41445.726,2.151,0.032,7642.454,170627.19
provinceMadhesh,7769.29,41240.514,0.188,0.851,-73319.582,88858.161
provinceSudurpashchim,-1580.842,53875.816,-0.029,0.977,-107513.787,104352.102
hh_income_monthly_nrs,0.828,0.664,1.248,0.213,-0.477,2.134
open_ceilingYes,-28134.563,27611.443,-1.019,0.309,-82425.369,26156.243
earth_flooringYes,-21284.997,26125.188,-0.815,0.416,-72653.465,30083.47
mosquito_control_measuresYes,8597.455,26150.149,0.329,0.743,-42820.091,60015.002
health_insuranceYes,-9311.972,27171.038,-0.343,0.732,-62736.835,44112.892
proximity_hotspot_km,-831.268,3075.87,-0.27,0.787,-6879.177,5216.64
env_risk_index,-9042.343,6615.305,-1.367,0.172,-22049.641,3964.954
