date,district,cases,deaths,epiweek
2022-01-01T00:00:00Z,Mangochi,0,0,52
2022-01-01T00:00:00Z,Blantyre,0,0,52
2022-01-01T00:00:00Z,Lilongwe,0,0,52
2022-01-01T00:00:00Z,Salima,0,0,52
2022-01-01T00:00:00Z,Nkhatabay,0,0,52
2022-01-01T00:00:00Z,Nkhotakota,0,0,52
2022-01-01T00:00:00Z,Balaka,0,0,52
2022-01-01T00:00:00Z,Rumphi,0,0,52
2022-01-01T00:00:00Z,Machinga,0,0,52
2022-01-01T00:00:00Z,Dedza,0,0,52
2022-01-01T00:00:00Z,Karonga,0,0,52
2022-01-01T00:00:00Z,Dowa,0,0,52
2022-01-01T00:00:00Z,Mzimba North,0,0,52
2022-01-01T00:00:00Z,Thyolo,0,0,52
2022-01-01T00:00:00Z,Chiradzulu,0,0,52
2022-01-01T00:00:00Z,Mulanje,0,0,52
2022-01-01T00:00:00Z,Nsanje,0,0,52
2022-01-01T00:00:00Z,Zomba,0,0,52
2022-01-01T00:00:00Z,Chikwawa,0,0,52
2022-01-01T00:00:00Z,Neno,0,0,52
2022-01-01T00:00:00Z,Ntcheu,0,0,52
2022-01-01T00:00:00Z,Likoma,0,0,52
2022-01-01T00:00:00Z,Chitipa,0,0,52
2022-01-01T00:00:00Z,Phalombe,0,0,52
2022-01-01T00:00:00Z,Mwanza,0,0,52
2022-01-01T00:00:00Z,Mchinji,0,0,52
2022-01-01T00:00:00Z,Kasungu,0,0,52
2022-01-01T00:00:00Z,Ntchisi,0,0,52
2022-01-01T00:00:00Z,Mzimba South,0,0,52
2022-01-02T00:00:00Z,Mangochi,0,0,52
2022-01-02T00:00:00Z,Blantyre,0,0,52
2022-01-02T00:00:00Z,Lilongwe,0,0,52
2022-01-02T00:00:00Z,Salima,0,0,52
2022-01-02T00:00:00Z,Nkhatabay,0,0,52
2022-01-02T00:00:00Z,Nkhotakota,0,0,52
2022-01-02T00:00:00Z,Balaka,0,0,52
2022-01-02T00:00:00Z,Rumphi,0,0,52
2022-01-02T00:00:00Z,Machinga,0,0,52
2022-01-02T00:00:00Z,Dedza,0,0,52
2022-01-02T00:00:00Z,Karonga,0,0,52
2022-01-02T00:00:00Z,Dowa,0,0,52
2022-01-02T00:00:00Z,Mzimba North,0,0,52
2022-01-02T00:00:00Z,Thyolo,0,0,52
2022-01-02T00:00:00Z,Chiradzulu,0,0,52
2022-01-02T00:00:00Z,Mulanje,0,0,52
2022-01-02T00:00:00Z,Nsanje,0,0,52
2022-01-02T00:00:00Z,Zomba,0,0,52
2022-01-02T00:00:00Z,Chikwawa,0,0,52
2022-01-02T00:00:00Z,Neno,0,0,52
2022-01-02T00:00:00Z,Ntcheu,0,0,52
2022-01-02T00:00:00Z,Likoma,0,0,52
2022-01-02T00:00:00Z,Chitipa,0,0,52
2022-01-02T00:00:00Z,Phalombe,0,0,52
2022-01-02T00:00:00Z,Mwanza,0,0,52
2022-01-02T00:00:00Z,Mchinji,0,0,52
2022-01-02T00:00:00Z,Kasungu,0,0,52
2022-01-02T00:00:00Z,Ntchisi,0,0,52
2022-01-02T00:00:00Z,Mzimba South,0,0,52
2022-01-03T00:00:00Z,Mangochi,0,0,1
2022-01-03T00:00:00Z,Blantyre,0,0,1
2022-01-03T00:00:00Z,Lilongwe,0,0,1
2022-01-03T00:00:00Z,Salima,0,0,1
2022-01-03T00:00:00Z,Nkhatabay,0,0,1
2022-01-03T00:00:00Z,Nkhotakota,0,0,1
2022-01-03T00:00:00Z,Balaka,0,0,1
2022-01-03T00:00:00Z,Rumphi,0,0,1
2022-01-03T00:00:00Z,Machinga,0,0,1
2022-01-03T00:00:00Z,Dedza,0,0,1
2022-01-03T00:00:00Z,Karonga,0,0,1
2022-01-03T00:00:00Z,Dowa,0,0,1
2022-01-03T00:00:00Z,Mzimba North,0,0,1
2022-01-03T00:00:00Z,Thyolo,0,0,1
2022-01-03T00:00:00Z,Chiradzulu,0,0,1
2022-01-03T00:00:00Z,Mulanje,0,0,1
2022-01-03T00:00:00Z,Nsanje,0,0,1
2022-01-03T00:00:00Z,Zomba,0,0,1
2022-01-03T00:00:00Z,Chikwawa,0,0,1
2022-01-03T00:00:00Z,Neno,0,0,1
2022-01-03T00:00:00Z,Ntcheu,0,0,1
2022-01-03T00:00:00Z,Likoma,0,0,1
2022-01-03T00:00:00Z,Chitipa,0,0,1
2022-01-03T00:00:00Z,Phalombe,0,0,1
2022-01-03T00:00:00Z,Mwanza,0,0,1
2022-01-03T00:00:00Z,Mchinji,0,0,1
2022-01-03T00:00:00Z,Kasungu,0,0,1
2022-01-03T00:00:00Z,Ntchisi,0,0,1
2022-01-03T00:00:00Z,Mzimba South,0,0,1
2022-01-04T00:00:00Z,Mangochi,0,0,1
2022-01-04T00:00:00Z,Blantyre,0,0,1
2022-01-04T00:00:00Z,Lilongwe,0,0,1
2022-01-04T00:00:00Z,Salima,0,0,1
2022-01-04T00:00:00Z,Nkhatabay,0,0,1
2022-01-04T00:00:00Z,Nkhotakota,0,0,1
2022-01-04T00:00:00Z,Balaka,0,0,1
2022-01-04T00:00:00Z,Rumphi,0,0,1
