"date","forecast","lower_80","upper_80","lower_95","upper_95"
2026-01-01,84.3535921258898,-7557.40944669163,7726.11663094341,-11602.7144409945,11771.4216252463
2026-02-01,96.7348331643685,-8772.19845788226,8965.66812421099,-13467.1281428469,13660.5978091756
2026-03-01,102.339037867992,-9286.10859386109,9490.78666959707,-14256.0525584232,14460.7306341591
2026-04-01,104.875706870922,-9594.54284251437,9804.29425625621,-14729.1048670565,14938.8562807984
2026-05-01,106.023896484029,-9827.76700134733,10039.8147943154,-15086.3982527,15298.4460456681
2026-06-01,106.543609298797,-10029.2101595538,10242.2973781514,-15394.7540967167,15607.8413153143
2026-07-01,106.778850418165,-10215.5323125117,10429.090013348,-15679.8337686073,15893.3914694436
2026-08-01,106.885329193883,-10393.6819456096,10607.4526039973,-15952.3464872869,16166.1171456747
2026-09-01,106.933525400859,-10566.7145233339,10780.5815741357,-16217.0024921767,16430.8695429784
2026-10-01,106.955340775343,-10736.0357871694,10949.9464687201,-16475.9685671112,16689.8792486619
2026-11-01,106.965215215548,-10902.3306225813,11116.2610530124,-16730.2997980412,16944.2302284723
2026-12-01,106.96968475007,-11065.9624262194,11279.9017957195,-16980.5554121471,17194.4947816472
