"Characteristics","Number","Percent","95% CI"
"Sex",,,
"  Female",139,57.9,"51.4 - 64.2"
"  Male",143,55,"48.7 - 61.2"
"Age Group",,,
"  18-59",199,53.9,"48.7 - 59.1"
"  60+",83,63.4,"54.5 - 71.6"
"Province",,,
"  Bagmati",58,56.9,"46.7 - 66.6"
"  Gandaki",36,60,"46.5 - 72.4"
"  Karnali",28,51.9,"37.8 - 65.7"
"  Koshi",35,56.5,"43.3 - 69"
"  Lumbini",49,55.1,"44.1 - 65.6"
"  Madhesh",52,54.7,"44.2 - 65"
"  Sudurpashchim",24,63.2,"46 - 78.2"
"Outbreak Intensity",,,
"  High",64,61.5,"51.5 - 70.9"
"  Low",76,50.7,"42.4 - 58.9"
"  Moderate",142,57.7,"51.3 - 64"
